[2026-09-03 14:12:43] FAILED | Router Offline
[2026-09-03 14:13:09] FAILED | Router Offline
[2026-09-03 14:13:34] FAILED | Router Offline
[2026-09-03 19:13:57] FAILED | Router Offline
[2026-09-03 19:14:22] FAILED | Router Offline
[2026-09-03 19:14:48] FAILED | Router Offline
[2026-09-03 19:15:13] FAILED | Router Offline
[2026-09-03 19:15:38] FAILED | Router Offline
[2026-09-03 19:16:04] FAILED | Router Offline
[2026-09-03 19:16:21] OK | History saved: 2026-09-03 19:16:21<br>Download: 44.33 Mbps<br>Upload: 5.99 Mbps<br>CPU: 15 %<br>Memory: 18.019866943359 %<br>Disk: 19.305419921875 %
[2026-09-03 19:16:31] OK | History saved: 2026-09-03 19:16:31<br>Download: 5.82 Mbps<br>Upload: 2.84 Mbps<br>CPU: 10 %<br>Memory: 18.015289306641 %<br>Disk: 19.305419921875 %
[2026-09-03 19:16:41] OK | History saved: 2026-09-03 19:16:42<br>Download: 23.36 Mbps<br>Upload: 2.36 Mbps<br>CPU: 6 %<br>Memory: 17.991638183594 %<br>Disk: 19.305419921875 %
[2026-09-03 19:16:29] FAILED | Router Offline
[2026-09-03 19:16:52] OK | History saved: 2026-09-03 19:16:52<br>Download: 61.8 Mbps<br>Upload: 7.91 Mbps<br>CPU: 27 %<br>Memory: 18.015289306641 %<br>Disk: 19.305419921875 %
[2026-09-03 19:17:02] OK | History saved: 2026-09-03 19:17:02<br>Download: 52.73 Mbps<br>Upload: 4.75 Mbps<br>CPU: 21 %<br>Memory: 18.042755126953 %<br>Disk: 19.305419921875 %
[2026-09-03 19:16:54] FAILED | Router Offline
[2026-09-03 19:17:12] OK | History saved: 2026-09-03 19:17:12<br>Download: 36.67 Mbps<br>Upload: 2.25 Mbps<br>CPU: 9 %<br>Memory: 18.033599853516 %<br>Disk: 19.305419921875 %
[2026-09-03 19:17:22] OK | History saved: 2026-09-03 19:17:22<br>Download: 41.54 Mbps<br>Upload: 5.82 Mbps<br>CPU: 15 %<br>Memory: 18.033599853516 %<br>Disk: 19.305419921875 %
[2026-09-03 19:17:33] OK | History saved: 2026-09-03 19:17:33<br>Download: 48.31 Mbps<br>Upload: 3.69 Mbps<br>CPU: 14 %<br>Memory: 18.032836914062 %<br>Disk: 19.305419921875 %
[2026-09-03 19:17:20] FAILED | Router Offline
[2026-09-03 19:17:43] OK | History saved: 2026-09-03 19:17:43<br>Download: 58.6 Mbps<br>Upload: 2.72 Mbps<br>CPU: 21 %<br>Memory: 17.967224121094 %<br>Disk: 19.305419921875 %
